Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram128_49.cnf 1814.39 2219.5 970 1326.28 3700.31 185.312 2368.85
Volfram128_5.cnf 1853.19 3441.48 2749.8 1767.01 2849.1 1607.46 1354.1
Volfram128_50.cnf 2212.78 3123.82 952.1 5000 3609.88 2349.1 222.496
Volfram128_51.cnf 1857.28 1423.52 1993.5 688.372 1307.38 2511.23 2331.09
Volfram128_52.cnf 346.92 499.134 822.9 342.536 5000 60.14 788.164
Volfram128_53.cnf 693.7 3993.15 4996.1 2269.01 5000 531.928 5000
Volfram128_54.cnf 984.176 1789.45 4996.6 2900.35 5000.01 178.808 2593.36
Volfram128_55.cnf 80.04 235.229 451.2 284.968 400.336 371.536 187.912
Volfram128_56.cnf 2074.41 3731.17 1183.6 1049.35 1373.98 131.98 3262.82
Volfram128_57.cnf 5000.01 5000.01 4994.8 150.568 1236.55 287.4 477.416
Volfram128_58.cnf 2240.39 184.541 4994.6 906.3 5000 1454.47 390.52
Volfram128_59.cnf 707.62 1142.88 503.4 1900.75 1415.22 1702.95 1000.12
Volfram128_6.cnf 1079.13 542.436 1049.5 1166.53 121.496 340.46 1479.42
Volfram128_60.cnf 532.336 1177.16 1165.4 793.968 3372.38 762.876 1541.01
Volfram128_61.cnf 40.852 458.485 360.3 307.156 528.988 93.676 668.48
Volfram128_62.cnf 913.672 794.328 553.5 1424.4 2114.32 971.272 1591.45
Volfram128_63.cnf 3152.62 534.031 4994 5000 2330.1 985.596 5000
Volfram128_64.cnf 4165.42 3919.58 4994.3 196.24 2816.25 3726.66 3301.27
Volfram128_65.cnf 613.892 5000.01 4990.6 2624.06 4025.56 4118.14 5000
Volfram128_66.cnf 1310.96 185.183 944.3 419.416 403.788 271.624 407.6
Volfram128_67.cnf 3709.38 2944.4 4984.6 3831.29 5000 3473.08 2897.31
Volfram128_68.cnf 4694.43 4715.59 1410.4 2353.56 2176 1322.74 484.856
Volfram128_69.cnf 58.588 83.3208 104.3 78.628 63.196 50.048 74.64
Volfram128_7.cnf 3313.01 276.261 2147.3 2325.02 3600.74 2648.2 5000
Volfram128_70.cnf 1427.1 1780.49 923.1 2831.64 3235.74 1949.28 230.128
Volfram128_71.cnf 1190.41 262.462 1619.7 3427.01 2059.84 545.268 3714.65
Volfram128_72.cnf 543.176 562.09 566.6 73.548 97.48 111.288 443.332
Volfram128_73.cnf 449.16 2953.5 541.5 2316.81 789.968 1577.38 332.46
Volfram128_74.cnf 1280.15 1310.67 1740.4 2054.03 1675.5 99.212 2274.45
Volfram128_75.cnf 2722.97 1629.51 561 1640.48 3850.99 2462.42 1052.38
Volfram128_76.cnf 85.392 172.543 164.5 99.316 112.844 90.824 382.356
Volfram128_77.cnf 2712.77 3614.7 4952.8 5000.01 5000 3178.19 5000
Volfram128_78.cnf 3433.08 3619.96 4994 574.5 5000 1300.68 3071.15
Volfram128_79.cnf 70.6 38.0484 87.1 141.844 100.996 129.016 234.256
Volfram128_8.cnf 715.448 448.875 1467 630.516 472.28 110.448 157.936
Volfram128_80.cnf 915.308 75.9211 440.6 59.044 964.656 799.672 1482.65
Volfram128_81.cnf 830.304 614.539 910 229.256 135.176 353.368 321.32
Volfram128_82.cnf 163.276 138.694 93.3 133.632 15.104 200.9 480.572
Volfram128_83.cnf 479.22 2195.03 1716.2 98.248 521.668 1824.01 320.272
Volfram128_84.cnf 342.664 524.857 777.7 508.388 623.536 1170.22 482.76
Volfram128_85.cnf 57.744 566.716 243.7 322.116 75.72 136.84 264.66
Volfram128_86.cnf 23.764 35.7006 69.8 66.632 132.564 25.188 63.052
Volfram128_87.cnf 686.608 70.6498 1083.1 198.62 5000.01 278.26 400.836
Volfram128_88.cnf 407.064 503.303 331.5 76.644 5000 182.372 967.332
Volfram128_89.cnf 181.796 87.4871 169.4 48.476 1112.37 209.868 96.76
Volfram128_9.cnf 759.884 711.096 1720.9 155.692 3184.24 794.484 845.14
Volfram128_90.cnf 42.816 1318.9 510.1 170.032 311.728 149.872 770.152
Volfram128_91.cnf 219.948 254.127 213.3 92.532 547.312 18.136 651.364
Volfram128_92.cnf 667.508 1095.77 2335.4 17.064 1263.23 355.472 252.772
Volfram128_93.cnf 1433.43 407.994 908.8 408.196 310.824 421.296 1657.53
Volfram128_94.cnf 2665.66 1516.43 4992.7 1212.2 513.332 2100.74 3274.4
Volfram128_95.cnf 906.04 59.9869 627 1589.04 4007.4 352.824 2324.97
Volfram128_96.cnf 2003.57 3327.44 2363.6 5000 5000 1657.24 909.136
Volfram128_97.cnf 2941.54 321.335 1616.9 3657.51 5000 654.016 681.96
Volfram128_98.cnf 3928.01 2015.31 4997.8 574.916 4070.02 826.2 4645.92
Volfram128_99.cnf 270.364 2429.1 114.9 1518.74 207.924 558.952 1362.94
Volfram160_0.cnf 5000.02 5000.01 4993.6 5000.01 5000.01 1393.63 2969.56
Volfram160_1.cnf 2873.2 5000.01 4997.1 2902.62 5000.01 2951.54 1556.7
Volfram160_10.cnf 462.384 1662.76 4996.8 3597.14 5000.01 996.436 5000
Volfram160_11.cnf 5000 5000.01 4994.3 5000 5000.01 5000.42 5000
Volfram160_12.cnf 5000.01 5000.01 4996.9 5000 5000.01 2659.51 5000
Volfram160_13.cnf 5000.01 5000.01 4988.6 5000.01 5000.01 5000 5000
Volfram160_14.cnf 3402.04 2757.39 4997.7 5000 5000 5000.43 5000
Volfram160_15.cnf 5000.01 5000.01 4988 4325.91 5000.01 5000.29 5000
Volfram160_16.cnf 5000.01 5000.01 4999.2 5000 5000 5000.4 5000
Volfram160_17.cnf 5000 5000.02 4998.6 5000 5000.01 5000.07 5000
Volfram160_18.cnf 5000.01 5000.01 4998.4 2383.25 5000.01 5000.45 5000
Volfram160_19.cnf 5000.01 5000.02 4997.4 2077.63 5000.01 774.564 5000
Volfram160_2.cnf 5000.01 5000.01 4997.5 4947.02 5000 1591.93 5000
